json-c 0.18-2.1
json-glib 1.10.8-1.1
jsoncpp 1.9.6-3.3
kaccounts-integration 25.08.3-1.1
kactivitymanagerd 6.5.2-1
karchive 6.19.0-1.1
kate 25.08.3-1.1
kauth 6.19.0-1.1
kbd 2.9.0-1.1
kbookmarks 6.19.0-1.1
kcalc 25.08.3-1.1
kcmutils 6.19.0-1.1
kcodecs 6.19.0-1.1
kcolorpicker 0.3.1-5
kcolorscheme 6.19.0-1.1
kcompletion 6.19.0-1.1
kconfig 6.19.0-1.1
kconfigwidgets 6.19.0-1.1
kcontacts 1:6.19.0-1.1
kcoreaddons 6.19.0-1.1
kcrash 6.19.0-1.1
kdbusaddons 6.19.0-1.1
kde-cli-tools 6.5.2-1
kde-gtk-config 6.5.2-1
kdeclarative 6.19.0-1.1
kdeconnect 25.08.3-1.1
kdecoration 6.5.2-1
kded 6.19.0-1.1
kdegraphics-mobipocket 25.08.3-1.1
kdegraphics-thumbnailers 25.08.3-1.1
kdenlive 25.08.3-2
kdeplasma-addons 6.5.2-1
kdesu 6.19.0-1.1
kdialog 25.08.3-1.1
kdnssd 6.19.0-1.1
kdsingleapplication 1.2.0-1.1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-2.1
keyutils 1.6.3-3.1
kfilemetadata 6.19.0-1.1
kglobalaccel 6.19.0-1.1
kglobalacceld 6.5.2-1
kguiaddons 6.19.0-1.1
kholidays 1:6.19.0-1.1
ki18n 6.19.0-1.1
kiconthemes 6.19.0-1.1
kidletime 6.19.0-1.1
kimageannotator 0.7.1-4
kimageformats 6.19.0-1.1
kinfocenter 6.5.2-1
kio 6.19.0-2.1
kio-admin 25.08.3-1.1
kio-extras 25.08.3-1.1
kio-fuse 5.1.1-1.1
kirigami 6.19.0-1.1
kirigami-addons 1.10.0-1.1
kitemmodels 6.19.0-1.1
kitemviews 6.19.0-1.1
kjobwidgets 6.19.0-1.1
kmenuedit 6.5.2-1
kmod 34.2-1
knewstuff 6.19.0-1.1
knighttime 6.5.2-1
knotifications 6.19.0-1.1
knotifyconfig 6.19.0-1.1
konsole 25.08.3-1.1
kpackage 6.19.0-1.1
kparts 6.19.0-1.1
kpeople 6.19.0-1.1
kpipewire 6.5.2-1
kpty 6.19.0-1.1
kquickcharts 6.19.0-1.1
krb5 1.21.3-2.1
krunner 6.19.0-1.1
kscreen 6.5.2-1
kscreenlocker 6.5.2-1
kservice 6.19.0-1.1
kstatusnotifieritem 6.19.0-1.1
ksvg 6.19.0-1.1
ksystemstats 6.5.2-1
ktexteditor 6.19.0-1.1
ktextwidgets 6.19.0-1.1
kunitconversion 6.19.0-1.1
kuserfeedback 6.19.0-1.1
kwallet 6.19.0-1.1
kwallet-pam 6.5.2-1
kwalletmanager 25.08.3-1.1
kwayland 6.5.2-1
kwidgetsaddons 6.19.0-1.1
kwin 6.5.2-1
kwindowsystem 6.19.0-1.1
kxmlgui 6.19.0-1.1
l-smash 2.14.5-4.1
lame 3.100-6.1
lapack 3.12.1-2.1
layer-shell-qt 6.5.2-1
layer-shell-qt5 5.27.12-2
lcms2 2.17-1.1
ldb 2:4.23.2-1.1
leancrypto 1.6.0-1.1
lensfun 1:0.3.4-5.1
less 1:685-1.1
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.14-2
lib32-alsa-plugins 1.2.12-1
lib32-at-spi2-core 2.58.1-1
lib32-attr 2.5.2-1
lib32-audit 4.1.2-1
lib32-blas 3.12.1-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-cairo 1.18.4-1
lib32-colord 1.4.8-1
lib32-curl 8.17.0-1
lib32-dbus 1.16.2-1
lib32-dbus-glib 0.114-1
lib32-duktape 2.7.0-7
lib32-e2fsprogs 1.47.3-1
lib32-expat 2.7.3-1
lib32-flac 1.5.0-1
lib32-fontconfig 2:2.17.1-1
lib32-freeglut 3.6.0-2
lib32-freetype2 2.14.1-1
lib32-fribidi 1.0.16-2
lib32-gcc-libs 15.2.1+r22+gc4e96a094636-2
lib32-gdk-pixbuf2 2.44.4-1
lib32-gettext 0.26-1
lib32-giflib 5.2.2-1
lib32-glew 2.2.0-5
lib32-glib-networking 1:2.80.1-1
lib32-glib2 2.86.1-1
lib32-glibc 2.42+r17+gd7274d718e6f-2
lib32-glu 9.0.3-2
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.10-1
lib32-gst-plugins-base-libs 1.26.7-1
lib32-gstreamer 1.26.7-1
lib32-gtk3 1:3.24.50-1
lib32-harfbuzz 12.1.0-1
lib32-icu 76.1-1
lib32-imlib2 1.12.5-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-lapack 3.12.1-1
lib32-lcms2 2.17-1
lib32-libasyncns 1:0.8+r3+g68cd5af-3
lib32-libcaca 0.99.beta20-2
lib32-libcanberra 1:0.30+r2+gc0620e4-4
lib32-libcap 2.77-1
lib32-libcups 2.4.11-1
lib32-libdatrie 0.2.13-3
lib32-libdrm 2.4.128-1
lib32-libelf 0.194-1
lib32-libepoxy 1.5.10-2
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.11.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.56-1
lib32-libgudev 238-3
lib32-libice 1.1.1-2
lib32-libidn2 2.3.7-1
lib32-libjpeg-turbo 3.1.2-1
lib32-libldap 2.6.10-1
lib32-libltdl 2.6.0-1
